
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################

	### 67 Random Search v2 	#   114.96 	###

	### Tier 3 Agent 	#    -3.03 	###

	### jet2holiday  	#   -39.91 	###

	### brawl_stars  	#  -152.39 	###

	### orange       	#  -882.05 	###

	### TA - Tier 1 Agent 	# -1372.92 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  4091.93 	###

	###              	#  3256.64 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3115.44 	###

	### brawl_stars  	#  2117.41 	###

	### GigaBot      	#  1836.34 	###

	### qwer         	#  1506.54 	###

	### 67           	#  1138.18 	###

	### sudo         	#  1008.73 	###

	### HTandRX's Agent 	#   186.43 	###

	### jet2holiday  	#   157.11 	###

	### 67 Random Search v2 	#   155.93 	###

	### Tier 3 Agent 	#    -2.59 	###

	### NikhilxCamilo 	#  -236.21 	###

	### orange       	#  -352.78 	###

	### TA - Tier 1 Agent 	# -1183.44 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  5686.47 	###

	### HTandRX's Agent 	#  3207.35 	###

	###              	#  3082.20 	###

	### brawl_stars  	#  1697.42 	###

	### qwer         	#  1442.35 	###

	### sudo         	#  1130.22 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1061.30 	###

	### 67           	#   492.46 	###

	### RandomBot67  	#   203.65 	###

	### GigaBot      	#   142.27 	###

	### Tier 3 Agent 	#   -10.72 	###

	### NikhilxCamilo 	#  -236.03 	###

	### TA - Tier 1 Agent 	#  -319.96 	###

	### orange       	#  -690.58 	###

	### jet2holiday  	# -1232.43 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  3288.29 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3237.09 	###

	### 67           	#  2908.78 	###

	### HTandRX's Agent 	#  2351.01 	###

	### GigaBot      	#  2107.96 	###

	### jet2holiday  	#  1848.74 	###

	### brawl_stars  	#  1651.40 	###

	### 67 Random Search v2 	#   537.91 	###

	### sudo         	#   211.83 	###

	### qwer         	#   -17.47 	###

	### Tier 3 Agent 	#   -18.79 	###

	### NikhilxCamilo 	#   -94.81 	###

	### TA - Tier 1 Agent 	#  -169.64 	###

	###              	#  -641.01 	###

	### orange       	# -1689.35 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@
Error getting ad bids from agent NikhilxCamilo: 

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  3282.80 	###

	### GigaBot      	#  2881.57 	###

	### sudo         	#  2757.32 	###

	###              	#  2117.47 	###

	### RandomBot67  	#  2024.50 	###

	### 67           	#   560.52 	###

	### jet2holiday  	#   458.36 	###

	### qwer         	#   351.69 	###

	### HTandRX's Agent 	#   211.19 	###

	### NikhilxCamilo 	#   204.14 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#    -4.85 	###

	### brawl_stars  	#   -53.67 	###

	### orange       	# -1168.17 	###

	### TA - Tier 1 Agent 	# -1941.46 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### NikhilxCamilo 	#  5269.51 	###

	###              	#  3219.95 	###

	### sudo         	#  3197.01 	###

	### GigaBot      	#  2200.53 	###

	### 67 Random Search v2 	#  2011.77 	###

	### HTandRX's Agent 	#  1746.97 	###

	### RandomBot67  	#  1530.82 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1039.05 	###

	### jet2holiday  	#   451.87 	###

	### qwer         	#   378.19 	###

	### 67           	#   282.55 	###

	### Tier 3 Agent 	#    -3.71 	###

	### brawl_stars  	#  -503.07 	###

	### orange       	#  -593.15 	###

	### TA - Tier 1 Agent 	# -1417.16 	###

	###########################################

	@@@ WINNER: NikhilxCamilo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4949.45 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4621.28 	###

	### qwer         	#  3466.56 	###

	### sudo         	#  1843.80 	###

	### jet2holiday  	#  1685.53 	###

	### 67           	#  1436.04 	###

	### TA - Tier 1 Agent 	#  1353.78 	###

	### 67 Random Search v2 	#  1243.24 	###

	### brawl_stars  	#   447.89 	###

	### HTandRX's Agent 	#   358.69 	###

	###              	#   338.06 	###

	### Tier 3 Agent 	#     4.07 	###

	### NikhilxCamilo 	#  -202.95 	###

	### RandomBot67  	#  -347.71 	###

	### orange       	#  -434.31 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  5647.75 	###

	### brawl_stars  	#  4473.56 	###

	### qwer         	#  3398.77 	###

	### NikhilxCamilo 	#  3073.26 	###

	### 67           	#  1673.78 	###

	### jet2holiday  	#  1623.30 	###

	###              	#  1262.95 	###

	### sudo         	#  1076.82 	###

	### RandomBot67  	#   366.93 	###

	### GigaBot      	#   228.49 	###

	### HTandRX's Agent 	#    64.53 	###

	### 67 Random Search v2 	#    -2.18 	###

	### Tier 3 Agent 	#    -5.91 	###

	### orange       	#  -621.44 	###

	### TA - Tier 1 Agent 	# -1455.24 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  4227.89 	###

	### brawl_stars  	#  3975.41 	###

	###              	#  3587.24 	###

	### sudo         	#  2417.20 	###

	### 67 Random Search v2 	#  2189.57 	###

	### qwer         	#  1650.31 	###

	### NikhilxCamilo 	#  1459.46 	###

	### GigaBot      	#  1372.48 	###

	### HTandRX's Agent 	#  1367.11 	###

	### jet2holiday  	#  1006.18 	###

	### 67           	#   500.45 	###

	### TA - Dust II B Anchor (Tier 2) 	#   292.69 	###

	### Tier 3 Agent 	#    -2.05 	###

	### orange       	# -1295.51 	###

	### TA - Tier 1 Agent 	# -1382.70 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  2605.48 	###

	### brawl_stars  	#  2595.00 	###

	###              	#  2456.27 	###

	### GigaBot      	#  2339.31 	###

	### sudo         	#  2319.08 	###

	### NikhilxCamilo 	#  1974.65 	###

	### HTandRX's Agent 	#  1741.49 	###

	### qwer         	#  1566.27 	###

	### 67 Random Search v2 	#  1119.97 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1081.16 	###

	### RandomBot67  	#   809.04 	###

	### 67           	#   680.48 	###

	### orange       	#    87.23 	###

	### Tier 3 Agent 	#    -5.24 	###

	### TA - Tier 1 Agent 	# -2297.14 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  2867.06 	###

	### orange       	#  2431.93 	###

	### qwer         	#  2087.18 	###

	### brawl_stars  	#  1335.77 	###

	### 67           	#  1264.89 	###

	### HTandRX's Agent 	#  1014.34 	###

	### RandomBot67  	#   985.49 	###

	### jet2holiday  	#   769.91 	###

	### sudo         	#   757.46 	###

	### GigaBot      	#   390.58 	###

	###              	#    25.38 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#    -3.02 	###

	### NikhilxCamilo 	#  -265.13 	###

	### TA - Tier 1 Agent 	# -1629.37 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  5961.51 	###

	### jet2holiday  	#  2568.54 	###

	### 67 Random Search v2 	#  2556.10 	###

	### sudo         	#  2489.89 	###

	### RandomBot67  	#  1643.76 	###

	### GigaBot      	#  1639.77 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1583.54 	###

	### 67           	#  1259.73 	###

	### NikhilxCamilo 	#  1238.07 	###

	### brawl_stars  	#   836.17 	###

	### Tier 3 Agent 	#   541.90 	###

	### HTandRX's Agent 	#   434.71 	###

	###              	#   169.25 	###

	### TA - Tier 1 Agent 	#  -989.44 	###

	### orange       	# -1114.69 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  3653.41 	###

	### 67 Random Search v2 	#  3540.28 	###

	### brawl_stars  	#  3127.84 	###

	### sudo         	#  2731.27 	###

	### RandomBot67  	#  2001.19 	###

	### qwer         	#  1858.28 	###

	### GigaBot      	#  1703.62 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1592.64 	###

	### NikhilxCamilo 	#  1204.40 	###

	### jet2holiday  	#  1087.57 	###

	### HTandRX's Agent 	#   675.66 	###

	###              	#   267.24 	###

	### Tier 3 Agent 	#    -6.20 	###

	### orange       	# -2162.35 	###

	### TA - Tier 1 Agent 	# -3105.52 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  5241.77 	###

	###              	#  5120.03 	###

	### brawl_stars  	#  2429.59 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2310.99 	###

	### HTandRX's Agent 	#  2111.49 	###

	### GigaBot      	#  2076.92 	###

	### jet2holiday  	#  1632.59 	###

	### 67           	#  1223.09 	###

	### orange       	#   943.87 	###

	### 67 Random Search v2 	#   796.58 	###

	### RandomBot67  	#   675.38 	###

	### Tier 3 Agent 	#    -5.53 	###

	### NikhilxCamilo 	#  -310.31 	###

	### qwer         	#  -475.07 	###

	### TA - Tier 1 Agent 	# -2687.87 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4526.34 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4434.76 	###

	### GigaBot      	#  3425.24 	###

	### NikhilxCamilo 	#  2267.06 	###

	### jet2holiday  	#  2073.79 	###

	### 67           	#  1727.44 	###

	### HTandRX's Agent 	#  1712.38 	###

	### qwer         	#  1673.55 	###

	###              	#  1584.07 	###

	### RandomBot67  	#   718.36 	###

	### TA - Tier 1 Agent 	#   275.53 	###

	### sudo         	#   260.61 	###

	### 67 Random Search v2 	#   246.55 	###

	### Tier 3 Agent 	#    -2.62 	###

	### orange       	# -1151.09 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3103.43 	###

	### HTandRX's Agent 	#  2683.36 	###

	### brawl_stars  	#  2156.19 	###

	###              	#  1641.19 	###

	### 67           	#  1468.44 	###

	### sudo         	#  1459.28 	###

	### RandomBot67  	#  1314.88 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1245.09 	###

	### 67 Random Search v2 	#  1218.20 	###

	### GigaBot      	#   892.48 	###

	### qwer         	#   665.10 	###

	### NikhilxCamilo 	#   554.70 	###

	### Tier 3 Agent 	#   -11.89 	###

	### TA - Tier 1 Agent 	#  -144.80 	###

	### orange       	# -3226.62 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4265.38 	###

	### RandomBot67  	#  3401.86 	###

	### brawl_stars  	#  2873.69 	###

	### 67 Random Search v2 	#  2639.38 	###

	###              	#  2328.51 	###

	### qwer         	#  1692.89 	###

	### 67           	#  1622.10 	###

	### sudo         	#  1587.54 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1245.29 	###

	### GigaBot      	#  1053.51 	###

	### jet2holiday  	#   849.08 	###

	### NikhilxCamilo 	#   817.41 	###

	### Tier 3 Agent 	#    -3.91 	###

	### TA - Tier 1 Agent 	#  -562.77 	###

	### orange       	# -1795.16 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3212.41 	###

	### RandomBot67  	#  2706.65 	###

	###              	#  2471.01 	###

	### GigaBot      	#  2338.46 	###

	### qwer         	#  1943.10 	###

	### 67           	#  1793.31 	###

	### brawl_stars  	#  1491.43 	###

	### orange       	#  1220.32 	###

	### 67 Random Search v2 	#   662.42 	###

	### TA - Dust II B Anchor (Tier 2) 	#   616.40 	###

	### jet2holiday  	#   526.98 	###

	### NikhilxCamilo 	#   317.72 	###

	### Tier 3 Agent 	#    -6.19 	###

	### sudo         	#  -256.73 	###

	### TA - Tier 1 Agent 	# -1282.91 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4044.05 	###

	### GigaBot      	#  3072.02 	###

	### sudo         	#  2577.28 	###

	### brawl_stars  	#  2009.43 	###

	### qwer         	#  1653.24 	###

	### 67 Random Search v2 	#  1630.24 	###

	### jet2holiday  	#   925.70 	###

	### NikhilxCamilo 	#   816.38 	###

	###              	#   806.79 	###

	### HTandRX's Agent 	#   289.55 	###

	### RandomBot67  	#   266.54 	###

	### 67           	#   261.29 	###

	### Tier 3 Agent 	#    48.60 	###

	### orange       	#  -863.46 	###

	### TA - Tier 1 Agent 	# -1403.95 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  4844.56 	###

	### HTandRX's Agent 	#  4320.03 	###

	### GigaBot      	#  3926.86 	###

	### NikhilxCamilo 	#  3891.60 	###

	### 67 Random Search v2 	#  2851.96 	###

	###              	#  2387.60 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1994.70 	###

	### 67           	#   430.21 	###

	### RandomBot67  	#   290.39 	###

	### qwer         	#   245.77 	###

	### jet2holiday  	#     0.00 	###

	### Tier 3 Agent 	#    -7.11 	###

	### orange       	#  -785.90 	###

	### brawl_stars  	# -1192.47 	###

	### TA - Tier 1 Agent 	# -1326.99 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  5381.56 	###

	### jet2holiday  	#  3447.24 	###

	### 67           	#  2250.48 	###

	### GigaBot      	#  2101.16 	###

	### qwer         	#  2020.08 	###

	### NikhilxCamilo 	#  1232.89 	###

	### RandomBot67  	#   695.42 	###

	### 67 Random Search v2 	#   580.81 	###

	### sudo         	#   469.89 	###

	### TA - Tier 1 Agent 	#   283.89 	###

	### orange       	#    63.90 	###

	### Tier 3 Agent 	#    -2.81 	###

	### HTandRX's Agent 	#    -6.70 	###

	###              	#   -22.74 	###

	### brawl_stars  	#   -66.89 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3221.03 	###

	### sudo         	#  2704.17 	###

	### jet2holiday  	#  2290.38 	###

	### RandomBot67  	#  2046.89 	###

	### TA - Tier 1 Agent 	#  2020.58 	###

	### 67 Random Search v2 	#  1243.73 	###

	### orange       	#  1021.83 	###

	### 67           	#   996.01 	###

	### NikhilxCamilo 	#   920.44 	###

	### brawl_stars  	#   766.98 	###

	### qwer         	#   504.13 	###

	### TA - Dust II B Anchor (Tier 2) 	#    28.69 	###

	### Tier 3 Agent 	#    -2.55 	###

	###              	#  -105.63 	###

	### GigaBot      	#  -207.01 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4612.45 	###

	### jet2holiday  	#  3376.51 	###

	### GigaBot      	#  2669.49 	###

	### brawl_stars  	#  2330.15 	###

	### sudo         	#  1929.81 	###

	### TA - Tier 1 Agent 	#  1854.03 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1586.34 	###

	### 67           	#  1220.46 	###

	### HTandRX's Agent 	#  1067.92 	###

	### NikhilxCamilo 	#   405.53 	###

	### qwer         	#   369.12 	###

	### RandomBot67  	#    93.44 	###

	### 67 Random Search v2 	#    21.89 	###

	### Tier 3 Agent 	#   -14.09 	###

	### orange       	#  -650.56 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  3669.94 	###
